Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE122_Heap_Based_Buffer_Overflow__CWE131_memcpy_01.good,x86-64,angr,Success,1.09,114.89,120,209,3087
CWE122_Heap_Based_Buffer_Overflow__CWE131_memcpy_01.good,x86-64,llvm,Success,.02,9.95,0,0,757
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_memcpy_01.good,x86-64,ghidra,Success,8.19,682.32,80,17,61
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_memcpy_01.good,x86-64,angr,Success,1.07,114.75,116,202,3072
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_memcpy_01.good,x86-64,llvm,Success,.01,10.21,0,0,755
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_01.good,x86-64,ghidra,Success,7.69,569.44,76,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_01.good,x86-64,angr,Success,1.14,114.74,108,200,3336
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_01.good,x86-64,llvm,Success,.02,10.40,0,0,790
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memmove_01.bad,x86-64,ghidra,Success,7.71,708.03,83,18,65
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memmove_01.bad,x86-64,angr,Success,1.11,114.58,121,225,3336
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memmove_01.bad,x86-64,llvm,Success,.02,10.33,0,0,806
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_snprintf_01.bad,x86-64,ghidra,Success,7.38,569.76,81,17,61
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_snprintf_01.bad,x86-64,angr,Success,1.09,114.94,117,222,3773
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_alloca_snprintf_01.bad,x86-64,llvm,Success,.01,10.01,0,0,909
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_01.bad,x86-64,ghidra,Success,7.36,617.29,79,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_01.bad,x86-64,angr,Success,1.09,115.03,113,225,3894
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_01.bad,x86-64,llvm,Success,.01,10.04,0,0,912
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_loop_01.good,x86-64,ghidra,Success,7.40,713.58,78,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_loop_01.good,x86-64,angr,Success,1.03,114.34,112,199,3193
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_loop_01.good,x86-64,llvm,Success,.02,9.95,0,0,774
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_ncpy_01.bad,x86-64,ghidra,Success,8.06,574.39,85,19,69
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_ncpy_01.bad,x86-64,angr,Success,1.07,114.80,125,228,3365
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_ncpy_01.bad,x86-64,llvm,Success,.02,9.97,0,0,827
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_01.good,x86-64,ghidra,Success,8.32,569.78,84,19,69
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_01.good,x86-64,angr,Success,1.13,114.62,124,218,3212
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_01.good,x86-64,llvm,Success,.02,10.11,0,0,786
CWE121_Stack_Based_Buffer_Overflow__CWE131_memcpy_01.bad,x86-64,ghidra,Success,7.23,722.08,77,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE131_memcpy_01.bad,x86-64,angr,Success,1.06,114.73,109,208,3529
CWE121_Stack_Based_Buffer_Overflow__CWE131_memcpy_01.bad,x86-64,llvm,Success,.02,10.06,0,0,827
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cat_01.good,x86-64,ghidra,Success,7.40,650.84,78,16,57
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cat_01.good,x86-64,angr,Success,1.07,114.71,112,196,3005
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cat_01.good,x86-64,llvm,Success,.01,9.80,0,0,736
CWE190_Integer_Overflow__int64_t_rand_preinc_01.bad,x86-64,ghidra,Success,7.13,697.90,76,14,49
